"","uni","job_title","category","cycle"
"1","Wartburg College (Iowa)"," Visiting Assistant Professor (PhD) or Visiting Instructor of Spanish (MA)","VAP","2023-2024"
"2","St. Olaf College"," Visiting Instructor or Assistant Professor (NTT)","VAP","2023-2024"
"3","University of Mississippi (Ole Miss)"," Instructional Assistant Professor of Spanish","Assistant Professor (TT) - Unspecified","2023-2024"
"4","Taylor University"," Visiting Instructor of Spanish (NTT)","VAP","2023-2024"
"5","Voorhees College"," Foreign Languages Faculty","Other","2023-2024"
"6","North Greenville University"," Assistant Professor of Spanish (TT)","Assistant Professor (TT) - Unspecified","2023-2024"
"7","Washington University in Saint Louis"," Lecturer in Spanish (NTT)","NTT","2023-2024"
"8","University of Hertfordshire (UK)"," Lecturer in Languages (Spanish)","Lecturer","2023-2024"
"9","William & Mary"," Visiting Assistant Teaching Professor of Modern Language and Literature","VAP","2023-2024"
"10","Jackson State University"," Assistant Professor of Spanish and Sociolinguistics (TT)","Assistant Professor (TT) - Linguistics","2023-2024"
"11","University of Stirling"," Lecturer in Spanish and/or Latin American Studies (NTT)","NTT","2023-2024"
"12","Emory University"," Visiting Instructor of Spanish language instruction (NTT)","VAP","2023-2024"
"13","Berea College"," Visiting Assistant Professor in Spanish (NTT; 2 yr)","VAP","2023-2024"
"14","University of Limerick (Ireland)"," Teaching Assistant in Spanish","Other","2023-2024"
"15","University of Cambridge"," Murray Edwards College","Other","2023-2024"
"16","Berry College"," Visiting Assistant Professor of Spanish (NTT)","VAP","2023-2024"
"17","University of Vermont"," Lecturer","Lecturer","2023-2024"
"18","University of Texas at Arlington"," Senior Lecturer","Lecturer","2023-2024"
"19","Southern Utah University"," Lecturer of Spanish","Lecturer","2023-2024"
"20","St. Mary's College of Maryland"," Visiting Assistant Professor","VAP","2023-2024"
"21","Mohave Community College"," Faculty","Other","2023-2024"
"22","New Mexico State University"," Visiting Assistant Professor","VAP","2023-2024"
"23","St. Mary's University"," Visiting Assistant Professor of Languages (Spanish)","VAP","2023-2024"
"24","Coastal Carolina University"," Lecturer","Lecturer","2023-2024"
"25","Doane University"," Assistant Professor of Spanish (TT)","Assistant Professor (TT) - Unspecified","2023-2024"
"26","University of Virginia's College at Wise"," Instructor","Other","2023-2024"
"27","Texas Tech"," Instructor","Other","2023-2024"
"28","Texas A&M"," Instructional Assistant Professor of Spanish and Lower Level Undergraduate Spanish Coordinator (NTT)","NTT","2023-2024"
"29","Universidad Complutense de Madrid"," Profesor ayudante doctor","Other","2023-2024"
"30","The University of the West Indies (Jamaica)"," Lecturer/Senior Lecturer in Spanish (NTT)","NTT","2023-2024"
"31","Moreno Valley College"," Assistant Professor","Assistant Professor (TT) - Unspecified","2023-2024"
"32","Roanoke College"," Lecturer in Spanish (NTT; full","NTT","2023-2024"
"33","University of Kentucky"," Instructor","Other","2023-2024"
"34","University of North Georgia"," Lecturer in Spanish","Lecturer","2023-2024"
"35","Texas Woman's University"," Visiting Assistant Professor of Spanish","VAP","2023-2024"
"36","University of Strasbourg (France)"," Romance Studies Assistant Professor","Assistant Professor (TT) - Unspecified","2023-2024"
"37","University of Szczecin (Poland)"," Lecturer (1) AND Assistant Professor of Spanish Literature (2)","Assistant Professor (TT) - Unspecified","2023-2024"
"38","Baylor University"," Lecturer","Lecturer","2023-2024"
"39","Hampden","Sydney College","Other","2023-2024"
"40","Newcastle University"," Lecturer in Spanish","Lecturer","2023-2024"
"41","Saint Joseph's University"," Instructor of Practice","Other","2023-2024"
"42","University of Massachusetts Lowell"," Assistant Professor of Spanish & Lower Division SpanishProgram Coordinator","Assistant Professor (TT) - Unspecified","2023-2024"
"43","Clemson University"," Lecturer in Spanish","Lecturer","2023-2024"
"44","University of South Carolina at Union"," Instructor","Other","2023-2024"
"45","University of Toronto"," Assistant Professor","Assistant Professor (TT) - Unspecified","2023-2024"
"46","University of Illinois Urbana","Champaign","Other","2023-2024"
"47","University of Namur (Belgium)"," Assistant Professor of Spanish (NTT)","NTT","2023-2024"
"48","Penn State"," Lecturer or Assistant Teaching Professor of Spanish (NTT)","NTT","2023-2024"
